url;title;url_author;author;url_oeuvre;title_oeuvre;rating tags;warning tags;category tags;fandom tags;relationship tags;character tags;freeform tags;language;published;status;words;chapters;comments;kudos;bookmarks;hits
['/works/8337607'];['Yesterday Upon The Stair'];[['/users/PitViperOfDoom/pseuds/PitViperOfDoom']];[['PitViperOfDoom']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Teen And Up Audiences'];['Graphic Depictions Of Violence'];['Gen'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Uraraka Ochako', 'Iida Tenya & Midoriya Izuku', 'Sir Nighteye & Yagi Toshinori | All Might', 'Midoriya Izuku & Toogata Mirio'];['Midoriya Izuku', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Shimura Nana', 'Bakugou Katsuki', 'Todoroki Shouto', 'Uraraka Ochako', 'Iida Tenya', 'Iida Tensei | Ingenium', 'Eri (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Sir Nighteye (My Hero Academia)', 'Toogata Mirio'];"['Alternate Universe - Canon Divergence', 'BAMF Midoriya Izuku', 'Parental Yagi Toshinori | All Might', 'The Sixth Sense AU', 'Bakugou Katsuki Swears A Lot', 'Izuku Sees Dead People', 'Queerplatonic Relationships', 'Midoriya Izuku Has a Quirk', 'Platonic Slow Burn', 'platonic tododeku', 'Panic Attacks', 'Past Trauma', 'Body Horror', 'Character Death', 'Temporary Character Death', 'Implied/Referenced Child Abuse', ""Todoroki Enji | Endeavor's Bad Parenting"", 'CONTENT WARNINGS CAN BE FOUND IN CHAPTER ENDNOTES', 'Unsympathetic Bakugou Katsuki']";['\n        English\n      '];['2016-10-21'];['2019-10-12'];['424,070'];['60/60'];['25,343'];['98,604'];['24,027'];['3,680,766']
['/works/16392173'];['The Way You Used To Do'];[['/users/edema_ruh/pseuds/edema_ruh']];[['edema_ruh']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Teen And Up Audiences'];['Graphic Depictions Of Violence'];['M/M'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku', 'Ashido Mina & Bakugou Katsuki & Jirou Kyouka & Kaminari Denki & Kirishima Eijirou & Sero Hanta'];['Midoriya Izuku', 'Bakugou Katsuki', 'Class 1-A (My Hero Academia)', 'Yagi Toshinori | All Might', 'Aizawa Shouta | Eraserhead', 'Midoriya Inko', 'Bakugou Masaru', 'Bakugou Mitsuki'];['Soul Bond', 'Enemies to Friends to Lovers', 'Slow Burn', 'Mutual Pining', 'Pining', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Angst', 'Angst with a Happy Ending', 'Fluff', 'Whump', 'Blood and Injury', 'Post-Traumatic Stress Disorder - PTSD', 'Recovery', 'Character Development', 'Developing Relationship', 'First Kiss', 'Therapy', 'Sign Language', 'Hard of Hearing Bakugou Katsuki', 'Deaf Bakugou Katsuki', 'Bakugou Katsuki Swears A Lot', 'Bakugou Katsuki is Bad at Feelings', 'Protective Bakugou Katsuki', 'Pining Bakugou Katsuki', 'Oblivious Bakugou Katsuki', 'Hurt Bakugou Katsuki', 'BAMF Bakugou Katsuki', 'Bakugou Katsuki Whump', 'Touch-Starved Bakugou Katsuki', 'Jealous Bakugou Katsuki', 'Jealous Midoriya Izuku', 'Oblivious Midoriya Izuku', 'Hurt Midoriya Izuku', 'Pining Midoriya Izuku', 'BAMF Midoriya Izuku', 'Protective Midoriya Izuku', 'Midoriya Izuku Whump', 'Dekusquad (My Hero Academia) - Freeform', 'Bakusquad (My Hero Academia) - Freeform', 'Sharing a Bed', 'Cuddling & Snuggling', 'Accidental Cuddling', 'Miscommunication', 'Near Death Experiences', 'Bakugou Katsuki Has One for All Quirk', 'Midoriya Izuku Has One for All Quirk', 'Bakugou Katsuki Has PTSD - Post-Traumatic Stress Disorder', 'Bakugou Katsuki Has Feelings', 'Worried Bakugou Katsuki', 'Ghost Midoriya Izuku', 'Character Turned Into a Ghost', 'Character Study', 'Bakugou Katsuki Redemption', 'Bakugou Katsuki Being an Asshole', 'Unresolved Emotional Tension'];['\n        English\n      '];['2018-10-24'];['2021-04-20'];['670,180'];['30/30'];['8,859'];['66,954'];['15,082'];['3,130,861']
['/works/23529571'];['Viridian: The Green Guide'];[['/users/myheadinthecoudsnotcomingdown/pseuds/Clouds']];[['Clouds (myheadinthecoudsnotcomingdown)']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Teen And Up Audiences'];['Graphic Depictions Of Violence'];['Gen'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Kaminari Denki & Midoriya Izuku', 'Bakugou Katsuki & Amplifier (My Hero Academia)', 'Bakugo Katsuki/redemption', 'Kaminari Denki/Midoriya Izuku', 'Bakugou Katsuki & Shinsou Hitoshi', 'Bakugou Katsuki/Uraraka Ochako', '(IMPLIED)'];['Midoriya Izuku', 'Midoriya Inko', 'Aizawa Shouta | Eraserhead', 'Tsukauchi Naomasa', 'Bakugou Katsuki', 'Amplifier (My Hero Academia)', 'Takagi Ken | Rock Lock', 'Kaminari Denki', 'Queen Bee (My Hero Academia)', 'Sensei | All For One', 'Shigaraki Tomura | Shimura Tenko', 'Original Characters', 'Shinsou Hitoshi', 'Todoroki Enji | Endeavor', 'Akaguro Chizome | Stain', 'Asui Tsuyu', 'Asui Beru', 'Asui Ganma', 'Asui Samidare', 'Asui Satsuki', 'Shirakumo Oboro', 'Dabi (My Hero Academia)', 'Todoroki Shouto'];"['Vigilante Midoriya Izuku', 'Suicidal Midoriya Izuku', 'Passive Suicidal Ideation', ""i promise it's not as dark as it sounds"", 'Improvised weapons', 'I add tags and relationships as I write', 'Quirkless Midoriya Izuku', 'BAMF Midoriya Izuku', 'References to My Hero Academia: Vigilantes', 'trigger - Freeform', 'Parental Aizawa Shouta | Eraserhead', 'Analyst Midoriya Izuku', 'Smart Midoriya Izuku', 'Hacker Midoriya Izuku', 'Nomu - Freeform', 'Villain Factory', 'Bakugou Katsuki Redemption', 'Self-Loathing', 'Bisexual Kaminari Denki', 'Kaminari Denki is a Flirt', 'My Hero Academia: Vigilantes Spoilers', 'Info Broker Katsuki Bakugo', 'Info Broker Dabi', 'Punt Endeavor into the Sun', 'Angst', 'Cliffhangers', 'Slow Burn', 'Eventual Romance', 'but definitely not the main plot', 'Boku no Hero Academia | My Hero Academia Manga Spoilers', 'Throwing Chapter 306 Out The Window', 'Kaminari Denki Has One For All Quirk', 'Dead Todoroki Enji | Endeavor', 'Bees', 'flirting as a weapon', 'Murder', 'Human Experimentation', 'Secrets', 'Secret Identity']";['\n        English\n      '];['2020-04-07'];['2021-08-07'];['272,617'];['120/120'];['31,508'];['72,939'];['13,763'];['2,989,084']
['/works/22080895'];"[""Deku? I think he's some pro...""]";[['/users/myheadinthecoudsnotcomingdown/pseuds/Clouds']];[['Clouds (myheadinthecoudsnotcomingdown)']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['General Audiences'];['No Archive Warnings Apply'];['Gen', 'F/M', 'M/M'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];"['Aizawa Shouta | Eraserhead & Midoriya Izuku', 'Aizawa Shouta | Eraserhead & Fukukado Emi | Ms. Joke', 'Midoriya Izuku & Sasaki Mirai | Sir Nighteye', 'Fukukado Emi | Ms. Joke & Midoriya Izuku', 'Aizawa Shouta | Eraserhead/Fukukado Emi | Ms. Joke', 'Bakugo Katsuki/Consequences', 'Bakugo Katsuki & Inui Ryou | Hound Dog', 'Bakugou Katsuki/Kirishima Eijirou', 'everyone/therapy', 'I keep changing my mind', ""don't be suprised if things keep changing"", 'Midoriya Izuku/Uraraka Ochako']";['Midoriya Izuku', 'Midoriya Inko', 'Fukukado Emi | Ms. Joke', 'Sasaki Mirai | Sir Nighteye', 'Mr. Brave (My Hero Academia)', 'Bakugou Katsuki', 'Monoma Neito', 'Yaoyorozu Momo', 'Todoroki Shouto', 'Iida Tenya', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Toogata Mirio', 'Awata Kaoruko | Bubble Girl', 'Moashi Juuzou | Centipeder', 'Shimura Nana', 'Class 1-A (My Hero Academia)', 'Kayama Nemuri | Midnight', 'Inui Ryou | Hound Dog', 'Kan Sekijirou | Vlad King', 'Shigaraki Tomura | Shimura Tenko', 'Sensei | All For One', 'Kurogiri (My Hero Academia)', 'Shinsou Hitoshi', 'Usagiyama Rumi | Miruko', 'Hadou Nejire', 'Amajiki Tamaki', 'Gran Torino (My Hero Academia)', 'Dabi (My Hero Academia)', 'Toga Himiko', 'Iguchi Shuuichi | Spinner', 'Muscular (My Hero Academia)', 'Mustard (My Hero Academia)', 'Sako Atsuhiro | Mr. Compress', 'Moonfish (My Hero Academia)'];"['Quirkless Midoriya Izuku', 'Informant Midoriya Izuku', 'Smart Midoriya Izuku', 'BAMF Midoriya Izuku', 'Dadzawa', 'Parental Aizawa Shouta | Eraserhead', 'Midoriya Izuku Does Not Have One for All Quirk', 'Recommendation Student Izuku Midoriya', 'Recommendation Exam (My Hero Academia)', 'Midoriya Izuku Has A Gun', 'Toogata Mirio Has One for All Quirk', 'Manga Spoilers', 'Bakugo Katsuki goes to Therapy', ""Romance isn't the main point of this story"", 'My Hero Academia: Vigilantes References', 'Adopted Toga Himiko']";['\n        English\n      '];['2020-01-02'];['2021-07-14'];['191,001'];['94/94'];['21,107'];['71,659'];['13,873'];['2,818,034']
['/works/23032696'];['A Hero Rises'];[['/users/Zabeck/pseuds/Zabeck']];[['Zabeck']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Explicit'];['Creator Chose Not To Use Archive Warnings'];['F/F', 'F/M', 'Multi'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Midoriya Izuku/Toga Himiko', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku/Yaoyorozu Momo', 'Hagakure Tooru/Midoriya Izuku', 'Jirou Kyouka/Midoriya Izuku', 'Ashido Mina/Midoriya Izuku', 'Asui Tsuyu/Midoriya Izuku', 'Bakugo Katsuki/Consequences', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Midoriya Izuku & Nedzu', 'Midoriya Izuku/Everyone', 'Izuku/Himiko/Ochako/Momo/Tooru/Kyouka/Mina/Tsuyu', 'Aizawa Shouta | Eraserhead/Kayama Nemuri | Midnight/Yamada Hizashi | Present Mic', 'Hatsume Mei/Iida Tenya', 'Midoriya Inko/Yagi Toshinori | All Might'];['Midoriya Izuku', 'Toga Himiko', 'Uraraka Ochako', 'Yaoyorozu Momo', 'Ashido Mina', 'Asui Tsuyu', 'Jirou Kyouka', 'Hagakure Tooru', 'Yagi Toshinori | All Might', 'Midoriya Inko', 'Shimura Nana', 'Nedzu (My Hero Academia)', 'Sensei | All For One', 'Past One For All Users (My Hero Academia)', 'Akaguro Chizome | Stain', 'Aizawa Shouta | Eraserhead', 'Shuuzenji Chiyo | Recovery Girl', 'Kayama Nemuri | Midnight', 'Yamada Hizashi | Present Mic', 'Kan Sekijirou | Vlad King', 'Todoroki Shouto', 'Bakugou Katsuki', 'Satou Rikidou', 'Kouda Kouji', 'Aoyama Yuuga', 'Sero Hanta', 'Kaminari Denki', 'Shouji Mezou', 'Ojiro Mashirao', 'Iida Tenya', 'Kirishima Eijirou', 'Gran Torino (My Hero Academia)', 'Hatsume Mei', 'Tokoyami Fumikage'];['Parental Yagi Toshinori | All Might', 'All might is a better teacher', 'Toga Himiko is a Good Friend', 'Toga Himiko is Not a Villain', 'Polyamorous relationship', 'Harems', 'Parental Nedzu (My Hero Academia)', 'Bakugo pays', 'One For All Quirk (My Hero Academia)', 'Himiko Toga replaces Mineta Minoru', 'Fluff and Smut', 'Bakugo Katsuki gets dunked on', 'Angst and Fluff and Smut', 'Light Angst', 'Blood Drinking', 'Knifeplay', 'Bloodplay', 'Anal Sex', 'Anal Fingering', 'Rimming', 'Body Horror', 'Aged-Up Character(s)', 'U.A. is a University (My Hero Academia)', 'Plot With Porn'];['\n        English\n      '];['2020-03-06'];['2026-01-30'];['1,076,264'];['213/?'];['13,676'];['13,529'];['2,870'];['2,264,840']
['/works/32163913'];['From The Sidelines'];[['/users/suffocatingspring/pseuds/suffocatingspring']];[['suffocatingspring']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Explicit'];['Creator Chose Not To Use Archive Warnings'];['M/M'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Bakugou Katsuki/Midoriya Izuku'];['Bakugou Katsuki', 'Midoriya Izuku', 'Class 1-A (My Hero Academia)'];"['Coming of Age', 'Eventual Smut', '80s Beachtown Aesthetic', 'Athlete Bakugou Katsuki', 'Midoriya Izuku is a Dork', 'Aged-Up Character(s)', 'Enemies to Friends to Lovers', 'Bakugou Katsuki is Bad at Feelings', 'Sexual Tension', 'Jealousy', 'Adventure & Romance', 'Small Towns', 'Alternate Universe - High School', 'Top Bakugou Katsuki', 'Bottom Midoriya Izuku', 'Smut', 'Fluff', 'Jock Bakugou Katsuki', ""But he's smart too"", ""Retro Vibes but it's modern day"", 'long-fic', 'Slow Burn']";['\n        English\n      '];['2021-06-24'];['2021-12-12'];['404,533'];['14/14'];['7,425'];['51,759'];['12,624'];['2,254,557']
['/works/25069339'];['Cheat Code: Support Strategist'];[['/users/myheadinthecoudsnotcomingdown/pseuds/Clouds']];[['Clouds (myheadinthecoudsnotcomingdown)']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Teen And Up Audiences'];['No Archive Warnings Apply'];['F/M', 'Gen'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Hatsume Mei & Midoriya Izuku', 'Hatsume Mei/Midoriya Izuku', 'Midoriya Izuku & Nedzu', 'Hatsume Mei & Shinsou Hitoshi', 'Midoriya Izuku & Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Shinsou Hitoshi/Uraraka Ochako'];['Midoriya Izuku', 'Hatsume Mei', 'Shinsou Hitoshi', 'Midoriya Inko', 'Nedzu (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Maijima Higari | Power Loader', 'Bakugou Katsuki', 'Class 1-F (My Hero Academia)', 'Shigaraki Tomura | Shimura Tenko', 'Kurogiri (My Hero Academia)', 'Yagi Toshinori | All Might', 'Class 1-A (My Hero Academia)', 'Todoroki Shouto', 'Uraraka Ochako', 'Class 1-B (My Hero Academia)', 'Mineta Minoru', 'Melissa Shield', 'David Shield', 'Kamihara Shinya | Edgeshot'];"['Quirkless Midoriya Izuku', 'BAMF Midoriya Izuku', 'Support Department Midoriya Izuku', 'Hacker Midoriya Izuku', 'Slow Burn', 'Analyst Midoriya Izuku', 'Smart Midoriya Izuku', 'Scary Midoriya Izuku', 'USJ', 'Confident Midoriya Izuku', 'Chaotic Midoriya Izuku', 'Chaotic Hatsume Mei', ""She's a bad example"", 'Shinso Hitoshi is along for the ride', 'Traitor Mineta Minoru', 'Uraraka Ochako Has One for All Quirk', 'angry cats', 'Vent Gremlins', 'Crack Treated Seriously']";['\n        English\n      '];['2020-07-04'];['2022-01-29'];['197,423'];['89/89'];['16,574'];['52,362'];['10,342'];['2,187,151']
['/works/14446512'];['Hero Class Civil Warfare'];[['/users/Icarius51/pseuds/RogueDruid']];[['RogueDruid (Icarius51)']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Teen And Up Audiences'];['Creator Chose Not To Use Archive Warnings', 'No Archive Warnings Apply'];['Gen', 'Multi'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Midoriya Izuku & Yaoyorozu Momo', 'Jirou Kyouka & Yaoyorozu Momo', 'Midoriya Izuku & Shinsou Hitoshi', 'Hatsume Mei & Midoriya Izuku', 'Midoriya Izuku & Shouji Mezou', 'Hatsume Mei & Yaoyorozu Momo', 'Midoriya Izuku & Monoma Neito'];['Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Midoriya Izuku', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic', 'Yagi Toshinori | All Might', 'Bakugou Katsuki', 'Jirou Kyouka', 'Yaoyorozu Momo', 'Monoma Neito', 'Todoroki Shouto', 'Iida Tenya', 'Tokage Setsuna', 'Shinsou Hitoshi', 'Hatsume Mei', 'Shouji Mezou', 'Uraraka Ochako'];"['Bakugou Katsuki Swears A Lot', 'Hero Worship', 'Mind Games', 'Emotional Manipulation', 'Villain Midoriya Izuku', 'But its for class', 'Heroes to Villains', 'The Teachers were not prepared', 'Things get... out of hand.', 'Hacking', 'bending the rules', 'Explosions', 'Paintball', 'Car Chases', 'Demolition', 'Lies', 'Cheating Villians', 'Read the Rules You Morons', ""Otherwise it'll kick your ass"", '""We\'re Villains. We don\'t play fair""', 'Betrayal', 'backstabbing', 'Double agents who don;t know they are double agents.', 'Motorcycles', 'The Sewer Level always sucks', 'Mild Body Horror (Arms)']";['\n        English\n      '];['2018-04-26'];['2018-11-28'];['85,769'];['33/33'];['8,749'];['73,348'];['21,248'];['2,125,234']
['/works/24126355'];['No such thing as a painless lesson'];[['/users/RoseJennison/pseuds/RoseJennison']];[['RoseJennison']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['General Audiences'];['No Archive Warnings Apply'];['F/F', 'F/M', 'Gen', 'M/M'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'];['Midoriya Izuku & Everyone', 'Midoriya Izuku/Uraraka Ochako', 'other pairings mentioned', 'and shipped by some characters', 'Aizawa Shouta | Eraserhead & Yamada Hizashi | Present Mic', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Jirou Kyouka & Yaoyorozu Momo', 'Bakugou Katsuki & Kirishima Eijirou', 'Todoroki Shouto & Yaoyorozu Momo'];['Class 1-A (My Hero Academia)', 'Aizawa Shouta | Eraserhead', 'Yagi Toshinori | All Might', 'Shuuzenji Chiyo | Recovery Girl', 'Nedzu (My Hero Academia)', 'Yamada Hizashi | Present Mic'];"['Characters watch the show', 'Reaction', 'Aoyama and Ashido are shippers on deck', 'Parental Yagi Toshinori | All Might', 'Parental Aizawa Shouta | Eraserhead', 'Characters Watch the Anime', 'characters watch their show', 'Midoriya Izuku Needs A Hug', 'Bakugou Katsuki is Bad at Feelings', 'Class 1-A Shenanigans (My Hero Academia)', ""Todoroki Enji | Endeavor's Bad Parenting"", 'Some relationships can be interpreted platonically or romantically', 'Do not post to another site', 'i do not give permission for podfics or YouTube videos to be made from this story']";['\n        English\n      '];['2020-05-11'];['2025-01-28'];['564,335'];['72/?'];['5,130'];['17,088'];['3,835'];['1,871,639']
['/works/25416460'];['MHA watches Death Battle'];[['/users/Zayden_StormVoid/pseuds/Zayden_StormVoid']];[['Zayden_StormVoid']];/tags/%E5%83%95%E3%81%AE%E3%83%92%E3%83%BC%E3%83%AD%E3%83%BC%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%82%A2%20%7C%20Boku%20no%20Hero%20Academia%20%7C%20My%20Hero%20Academia%20(Anime%20*a*%20Manga)/works;僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga);['Mature'];['Graphic Depictions Of Violence'];['F/M', 'Other'];['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia', 'Death Battle (Web Series)'];['Hadou Nejire/Midoriya Izuku', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku/Yaoyorozu Momo', 'Ashido Mina/Midoriya Izuku', 'Asui Tsuyu/Midoriya Izuku', 'Jirou Kyouka/Midoriya Izuku', 'Hagakure Tooru/Midoriya Izuku', 'Hatsume Mei/Midoriya Izuku', 'Midoriya Izuku/Melissa Shield', 'Midoriya Izuku/Tokage Setsuna', 'Other Relationship Tags to Be Added', 'Tokoyami Fumikage/Yanagi Reiko', 'Komori Kinoko/Kuroiro Shihai'];['Midoriya Izuku', 'Uraraka Ochako', 'Yaoyorozu Momo', 'Ashido Mina', 'Hadou Nejire', 'Asui Tsuyu', 'Jirou Kyouka', 'Hagakure Tooru', 'Hatsume Mei', 'Melissa Shield', 'Tokage Setsuna', 'Bakugou Katsuki', 'Eri (My Hero Academia)', 'Izumi Kouta', 'Todoroki Shouto', 'Iida Tenya', 'Kirishima Eijirou', 'Yagi Toshinori | All Might', 'Nezu', 'Aizawa Shouta | Eraserhead', 'Class 1-A (My Hero Academia)', 'Class 1-B (My Hero Academia)', 'Toogata Mirio', 'Amajiki Tamaki', 'Shinsou Hitoshi', 'Todoroki Enji | Endeavor', 'Wiz (Death Battle)', 'Boomstick (Death Battle)', 'Other Character Tags to Be Added'];['Multiverse', 'Watching the multiverse', 'Death Battle', 'Violence', 'Harems', 'Humor', 'Death', 'Parody', 'Other Additional Tags to Be Added', 'Cross-Posted on FanFiction.Net'];['\n        English\n      '];['2020-07-21'];['2025-12-08'];['627,148'];['50/?'];['4,889'];['5,299'];['1,424'];['1,758,838']
